REPORTING YEAR,FACILITY NAME,GHGRP ID,REPORTED ADDRESS,LATITUDE,LONGITUDE,CITY NAME,COUNTY NAME,STATE,ZIP CODE,PARENT COMPANIES,GHG QUANTITY (METRIC TONS CO2e),SUBPARTS
2022,MCCAIN FOODS USA INC,1002287,100 LEE STREET,46.836659,-119.174622,OTHELLO,ADAMS COUNTY,WA,99344,MCCAIN  USA INC (100%),55798,"C,II"
2022,MCFS-CONWAY FRACTIONATOR,1002255,1407 5TH AVENUE,38.3775,-97.833056,MCPHERSON,MCPHERSON COUNTY,KS,67460,THE WILLIAMS COS INC (50%); PHILLIPS 66 (40%); ONEOK PARTNERS LP (10%),131746,"C,NN,W"
2022,MCGILL ROAD C & D LANDFILL,1007580,3895 MCGILL RD,42.294814,-84.358853,JACKSON,JACKSON COUNTY,MI,49201,WASTE MANAGEMENT INC (100%),674,"C,HH"
2022,MCKAY BAY FACILITY,1004572,107 NORTH 34TH ST,27.94934,-82.42098,TAMPA,HILLSBOROUGH COUNTY,FL,33605,CITY OF TAMPA FLORIDA (100%),112029,C
2022,MCKEAN CNTY LDFL,1005530,19 NESS LN,41.665943,-78.637962,KANE,MCKEAN COUNTY,PA,16735,CASELLA WASTE SYSTEMS INC (100%),152,"C,HH"
2022,MCKITTRICK LIMITED,1002541,34759 LENCIONI AVE,35.44735,-119.08652,BAKERSFIELD,KERN COUNTY,CA,93308,MCKITTRICK LLC (100%),5865,D
2022,MCKNIGHT CMP STN,1006921,,32.0097,-94.9228,HENDERSON,RUSK COUNTY,TX,75652,ENERGY TRANSFER LP (100%),30511,"C,W"
2022,MEADOWFILL LANDFILL,1007667,1488 Dawson Drive,39.33861,-80.25694,BRIDGEPORT,HARRISON COUNTY,WV,26330,WASTE MANAGEMENT INC (100%),2075,"C,HH"
2022,MEDICAL AREA TOTAL ENERGY PLANT,1000580,474 BROOKLINE AVE,42.336667,-71.108333,BOSTON,SUFFOLK COUNTY,MA,2215,LONGWOOD ENERGY PARTNERS LLC (100%),271576,C
2022,MEDICAL CENTER COMPANY,1001921,2250 CIRCLE DR,41.50329,-81.6039,CLEVELAND,CUYAHOGA COUNTY,OH,44106,MEDICAL CENTER CO (100%),82136,C
2022,MEDORA SANITARY LANDFILL,1003240,546 COUNTY ROAD 870 WEST,38.86662,-86.19976,MEDORA,JACKSON COUNTY,IN,47260,RUMPKE CONSOLIDATED COS INC (100%),45,"C,HH"
2022,MEGlobal Oyster Creek,1013816,4057 E. Hwy 332,28.980228,-95.333659,Freeport,BRAZORIA COUNTY,TX,77541,MEGLOBAL AMERICAS INC (100%),197204,"C,PP,X"
2022,MEMPHIS CELLULOSE LLC,1006466,1001 TILLMAN ST.,35.159551,-89.959858,MEMPHIS,SHELBY COUNTY,TN,38112,KOCH INDUSTRIES INC (100%),35540,C
2022,MENOMINEE LANDFILL,1007755,W6111 ELMWOOD RD,45.17373,-87.62938,MENOMINEE,MENOMINEE COUNTY,MI,49858,WASTE MANAGEMENT INC (100%),350,"C,HH"
2022,"MEP Atlanta Station 2, TX",1002931,1034 County Road 4223,33.056563,-94.186809,Atlanta,CASS COUNTY,TX,75551,KINDER MORGAN INC (50%); REGENCY ENERGY PARTNERS LP (49.9%),64225,"C,W"
2022,"MEP Station 3 Perryville, LA",1002409,545 Mashaw Dr.,32.73211,-92.24888,Farmerville,UNION PARISH,LA,71241,KINDER MORGAN INC (50%); REGENCY ENERGY PARTNERS LP (49.9%),62065,"C,W"
2022,"MEP Station 4 Vicksburg, MS",1002849,4585 SMITH STATION ROAD,32.277957,-90.667235,EDWARDS,HINDS COUNTY,MS,39066,KINDER MORGAN INC (50%); REGENCY ENERGY PARTNERS LP (49.9%),59902,"C,W"
2022,MERAUX REFINERY,1007059,2500 EAST SAINT BERNARD HIGHWAY,29.930517,-89.940643,MERAUX,ST. BERNARD PARISH,LA,70075,VALERO ENERGY CORP (100%),648746,"C,MM,Y"
2022,MERCEDES-BENZ US INTERNATIONAL INC,1004249,1 MERCEDES DRIVE,33.18936,-87.26062,VANCE,TUSCALOOSA COUNTY,AL,35490,MERCEDES-BENZ US INTERNATIONAL INC (100%),44926,C
2022,MERCK SHARP & DOHME LLC - RAHWAY,1003261,126 EAST LINCOLN AVENUE,40.612743,-74.260921,RAHWAY,UNION COUNTY,NJ,7065,MERCK & CO INC (100%),83641,C
2022,MERCK SHARP & DOHME LLC - Stonewall Plant,1003595,2778 SOUTH EASTSIDE HIGHWAY,38.382253,-78.645033,ELKTON,ROCKINGHAM COUNTY,VA,22827,MERCK SHARP & DOHME LLC (100%),41606,C
2022,MERCURY MARINE FOND DU LAC COMPLEX,1003063,W6250 PIONEER RD,43.759661,-88.468509,FOND DU LAC,FOND DU LAC COUNTY,WI,54936,BRUNSWICK CORP (100%),38268,C
2022,MERIT ANADARKO BASIN NGG&B,1012778,1701 N KANSAS AVE,37.05705,-100.92224,LIBERAL,SEWARD COUNTY,KS,67905,MERIT ENERGY CO LLC (100%),205735,W
2022,MERIT ENERGY CO LLC 360 ANADARKO BASIN,1009274,"13727 NOEL ROAD, SUITE 1200",32.93476,-96.81801,DALLAS,,TX,75240,MERIT ENERGY CO LLC (100%),8891,W
2022,MERIT ENERGY CO. - EAST TEXAS BASIN G&B,1013966,"13727 NOEL RD, STE 1200",32.93476,-96.81801,DALLAS,DALLAS COUNTY,TX,75240,MERIT ENERGY CO LLC (100%),34230,W
2022,MESA COUNTY LANDFILL,1006977,3071 COLO HWY 50,39.020833,-108.488333,GRAND JUNCTION,MESA COUNTY,CO,81503,COUNTY OF MESA COLORADO (100%),21,"C,HH"
2022,MESSER LLC CORTEZ PLANT,1007715,14207 RD G,37.343787,-108.760096,CORTEZ,MONTEZUMA COUNTY,CO,81321,MESSER NORTH AMERICA INC (100%),775,"C,PP"
2022,METRO METHANE RECOVERY FACILITY,1007727,12161 12TH AVE NE,41.5989,-93.3548,MITCHELLVILLE,POLK COUNTY,IA,50169,METRO WASTE AUTHORITY (100%),1976,"C,HH"
2022,METROPOLITAN AIRPORTS COMMISSION,1005105,6040 28TH AVENUE SOUTH,44.893089,-93.232433,MINNEAPOLIS,HENNEPIN COUNTY,MN,55450,METROPOLITAN AIRPORTS COMMISSION (100%),29110,C
2022,"METTIKI COAL, LLC",1001644,293 TABLE ROCK ROAD,39.26178,-79.42836,OAKLAND,GARRETT COUNTY,MD,21550,ALLIANCE HOLDINGS GP LP (100%),30827,C
2022,MEWBOURN GAS PLANT,1006131,18455 WELD COUNTY RD 35,40.266583,-104.734944,GILCREST,WELD COUNTY,CO,80623,DCP MIDSTREAM LP (100%),278159,"C,W"
2022,MEXICHEM FLUOR INC.,1006675,4990B ICI ROAD,30.235778,-91.096005,SAINT GABRIEL,IBERVILLE PARISH,LA,70776,MEXICHEM FLUOR INC (100%),31916,"C,L,OO"
2022,MFEU-Uinta Basin Production,1013285,11002 East 17500 South,40.38956,-109.097,Vernal,,UT,84078,MIDDLE FORK ENERGY PARTNERS LLC (100%),43632,W
2022,MGM RESORTS INTERNATIONAL,1006611,4882 Frank Sinatra Dr,36.189225,-115.188545,LAS VEGAS,CLARK COUNTY,NV,89158,MGM RESORTS INTERNATIONAL (100%),113517,C
2022,"MGPI Processing, Inc.",1002865,1300 MAIN STREET,39.561,-95.1333,ATCHISON,ATCHISON COUNTY,KS,66002,MGP INGREDIENTS INC (100%),157173,"C,II"
2022,"MGPI of Indiana, LLC",1004530,7 RIDGE AVE,39.098667,-84.860861,LAWRENCEBURG,DEARBORN COUNTY,IN,47025,MGP INGREDIENTS INC (100%),69772,"C,PP"
2022,MGS Platform A,1005410,,60.795833,-151.495556,Offshore,KENAI PENINSULA BOROUGH,AK,0,HILCORP ENERGY CO (100%),5726,"C,W"
2022,MIAMI UNIVERSITY (1409090081),1005305,101 South Fisher Drive,39.471718,-84.752448,OXFORD,BUTLER COUNTY,OH,45056,MIAMI UNIVERSITY (100%),24803,C
2022,MICHELIN NORTH AMERICA ARDMORE PLANT,1004503,1101 Michelin RD.,34.18369,-97.16853,ARDMORE,CARTER COUNTY,OK,73401,MICHELIN NORTH AMERICA INC (100%),25756,C
2022,MICHIGAN STATE UNIVERSITY,1001250,354 Service Rd.,42.7178,-84.4836,EAST LANSING,INGHAM COUNTY,MI,48824,MICHIGAN STATE UNIVERSITY (100%),334199,C
